total_seconds,quota_of_saved_time_for_all_served_orders
46860,-0.2524766922608006
46860,-0.17301817268865763
46920,0
46980,0
47040,0
47100,-0.08675721804828322
47160,0
47220,0
47280,0
47340,0
47400,0
47460,-0.3856374369811216
47520,-0.05770427355855859
47580,-0.19500958171337623
47640,0
47700,-0.5467004960775302
47760,0
47820,0
47880,0
47940,-0.25837195979376265
48000,-0.08840986870500568
48060,0
48120,0
48180,0
48240,0
48300,0
48360,0
48420,0
48480,0
48540,0
48600,0
48660,-0.3091023523377632
48720,0
48780,-0.8088454434755884
48840,0
48900,-0.7629218501556542
48960,0
49020,0
49080,0
49140,0
49200,-0.1230912306310859
49260,0
49320,0
49380,0
49440,0
49500,0
49560,0
49620,-0.3695557211375597
49680,0
49740,0
49800,0
49860,0
49920,0
49980,-0.04301254012010428
50040,0
50100,-0.29349735734652055
50160,-0.07844636704927041
50220,0
50280,-0.11885843515834103
50340,0
